Timestamp_ms,GPS_Year,GPS_Month,GPS_Day,GPS_Hour,GPS_Min,GPS_Sec,Time_Valid,Accel_X(G),Accel_Y(G),Accel_Z(G),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Baro_Altitude(m),Latitude,Longitude,GPS_Altitude(m),PDOP,Fix_Type,Satellites,SpeedLeft,SpeedRight,Vbus,Iq,RPM_TIM2CH1,RPM_TIM5CH2,Temp1,Temp2
18371,1980,1,6,0,0,57,0,0.01220703125,1.003173828125,0.22412109375,4.7760009765625,2.26593017578125,-0.1068115234375,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.75,27.3125
18421,1980,1,6,0,0,57,0,0.020263671875,0.99755859375,0.228515625,4.89044189453125,1.21307373046875,0.79345703125,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.75,27.3125
18471,1980,1,6,0,0,57,0,-0.02197265625,0.998046875,0.207763671875,3.48663330078125,2.84576416015625,-0.02288818359375,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.75,27.3125
18521,1980,1,6,0,0,57,0,0.010498046875,1.005126953125,0.234619140625,6.1187744140625,0.84686279296875,0.48828125,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.75,27.3125
18571,1980,1,6,0,0,57,0,0.0087890625,1.00244140625,0.227783203125,3.6468505859375,1.8157958984375,0.09918212890625,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.75,27.3125
18621,1980,1,6,0,0,57,0,0.011962890625,1.008056640625,0.224853515625,3.692626953125,2.3040771484375,-0.14495849609375,562.053955078125,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.75,27.3125
18671,1980,1,6,0,0,57,0,0.013671875,1.002197265625,0.220703125,4.0435791015625,1.7547607421875,-0.1373291015625,562.053955078125,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.75,27.3125
18721,1980,1,6,0,0,57,0,0.0126953125,1.00537109375,0.203857421875,2.72369384765625,2.06756591796875,0.0457763671875,562.053955078125,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.75,27.3125
18771,1980,1,6,0,0,57,0,0.009033203125,1.00146484375,0.218505859375,3.15093994140625,2.32696533203125,-0.213623046875,562.053955078125,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.75,27.3125
18821,1980,1,6,0,0,57,0,0.002197265625,1.002685546875,0.23974609375,9.42230224609375,-1.39617919921875,0.762939453125,562.053955078125,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.75,27.3125
