Timestamp_ms,GPS_Year,GPS_Month,GPS_Day,GPS_Hour,GPS_Min,GPS_Sec,Time_Valid,Accel_X(G),Accel_Y(G),Accel_Z(G),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Baro_Altitude(m),Latitude,Longitude,GPS_Altitude(m),PDOP,Fix_Type,Satellites
713,1980,1,6,1,17,11,0,-0.0576171875,0.98046875,0.352783203125,3.5552978515625,1.6326904296875,-0.3509521484375,559.3033447265625,0.0,0.0,-17.0,99.98999786376953,0,0
763,1980,1,6,1,17,11,0,-0.0576171875,0.979736328125,0.3505859375,3.692626953125,1.983642578125,-0.57220458984375,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
813,1980,1,6,1,17,11,0,-0.0576171875,0.98046875,0.353271484375,3.85284423828125,1.82342529296875,-0.18310546875,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
863,1980,1,6,1,17,11,0,-0.050537109375,0.97802734375,0.35546875,3.631591796875,1.8157958984375,-0.3662109375,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
913,1980,1,6,1,17,11,0,-0.057861328125,0.97900390625,0.360595703125,3.83758544921875,1.922607421875,-0.335693359375,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
963,1980,1,6,1,17,11,0,-0.056884765625,0.977783203125,0.35546875,3.814697265625,1.99127197265625,-0.3509521484375,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
1013,1980,1,6,1,17,11,0,-0.055908203125,0.980712890625,0.352783203125,3.59344482421875,1.93023681640625,-0.0762939453125,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
1063,1980,1,6,1,17,11,0,-0.0537109375,0.9794921875,0.35595703125,3.37982177734375,2.0599365234375,-0.4119873046875,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
1113,1980,1,6,1,17,11,0,-0.053955078125,0.981689453125,0.35498046875,3.88336181640625,1.76239013671875,-0.35858154296875,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
1163,1980,1,6,1,17,11,0,-0.058837890625,0.976318359375,0.355224609375,3.7078857421875,1.983642578125,-0.32806396484375,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
1213,1980,1,6,1,17,12,0,-0.052001953125,0.977294921875,0.355712890625,3.875732421875,1.88446044921875,-0.19073486328125,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
1263,1980,1,6,1,17,12,0,-0.0556640625,0.9765625,0.35400390625,3.6773681640625,2.03704833984375,-0.34332275390625,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
1313,1980,1,6,1,17,12,0,-0.054443359375,0.97998046875,0.36083984375,3.9520263671875,1.953125,-0.1678466796875,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
1363,1980,1,6,1,17,12,0,-0.05224609375,0.984619140625,0.354248046875,3.54766845703125,1.74713134765625,-0.030517578125,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
1413,1980,1,6,1,17,12,0,-0.057861328125,0.9814453125,0.357666015625,3.59344482421875,1.99127197265625,-0.091552734375,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
1463,1980,1,6,1,17,12,0,-0.054931640625,0.9794921875,0.350341796875,3.35693359375,1.8463134765625,-0.11444091796875,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
1513,1980,1,6,1,17,12,0,-0.05712890625,0.98095703125,0.360595703125,3.83758544921875,1.60980224609375,-0.17547607421875,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
1563,1980,1,6,1,17,12,0,-0.05224609375,0.97802734375,0.357177734375,3.85284423828125,1.94549560546875,-0.1220703125,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
1613,1980,1,6,1,17,12,0,-0.052734375,0.979248046875,0.356689453125,3.88336181640625,1.77764892578125,-0.274658203125,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
1663,1980,1,6,1,17,12,0,-0.056640625,0.982177734375,0.3544921875,3.84521484375,1.99127197265625,-0.2593994140625,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
1713,1980,1,6,1,17,12,0,-0.06201171875,0.98388671875,0.357177734375,3.79180908203125,1.8463134765625,-0.48828125,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
